"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";382,37;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";386,67;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2019";391,72;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2020";585,28;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2021";568,28;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2022";599,07;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2023";810,98;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2002";96;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2003";101;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2004";210;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2005";330;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2006";457,30;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2007";526,86;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2008";592,73;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2009";622,24;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2010";477,22;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2011";492,09;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2012";465,29;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2013";412,94;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2014";470,81;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";485,58;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";419,56;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";427,92;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";489,37;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2019";596,42;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2020";601,07;"zł";"";
