"Kod";"Nazwa";"Okresy";"Lokalizacje";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2000000;"PODLASKIE";"rok";"na wsi";"mężczyźni";"2021";226842;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"mężczyźni";"2022";226061;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"mężczyźni";"2023";225297;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"kobiety";"2019";228194;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"kobiety";"2020";223677;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"kobiety";"2021";222195;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"kobiety";"2022";221507;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"kobiety";"2023";220786;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"mężczyźni";"2019";709840;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"mężczyźni";"2020";709599;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"mężczyźni";"2021";705696;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"mężczyźni";"2022";701904;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"mężczyźni";"2023";698884;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"kobiety";"2019";778287;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"kobiety";"2020";779807;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"kobiety";"2021";777059;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"kobiety";"2022";773844;"osoba";"";
2200000;"POMORSKIE";"rok";"w miastach";"kobiety";"2023";771577;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"mężczyźni";"2019";431385;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"mężczyźni";"2020";437439;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"mężczyźni";"2021";440787;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"mężczyźni";"2022";443733;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"mężczyźni";"2023";446870;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"kobiety";"2019";424416;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"kobiety";"2020";431411;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"kobiety";"2021";435184;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"kobiety";"2022";438826;"osoba";"";
2200000;"POMORSKIE";"rok";"na wsi";"kobiety";"2023";442242;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2019";1658303;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2020";1608151;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2021";1589889;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2022";1575737;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"mężczyźni";"2023";1563287;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"kobiety";"2019";1802364;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"kobiety";"2020";1752775;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"kobiety";"2021";1736097;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"kobiety";"2022";1723043;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"w miastach";"kobiety";"2023";1710832;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2019";518992;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2020";516927;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2021";516113;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2022";515169;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"mężczyźni";"2023";514072;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"kobiety";"2019";537976;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"kobiety";"2020";534244;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"kobiety";"2021";533848;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"kobiety";"2022";532753;"osoba";"";
2400000;"ŚLĄSKIE";"rok";"na wsi";"kobiety";"2023";531939;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"mężczyźni";"2019";265538;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"mężczyźni";"2020";255025;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"mężczyźni";"2021";251683;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"mężczyźni";"2022";248989;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"mężczyźni";"2023";247980;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"kobiety";"2019";294614;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"kobiety";"2020";284899;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"kobiety";"2021";281766;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"kobiety";"2022";279210;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"w miastach";"kobiety";"2023";278532;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"mężczyźni";"2019";336126;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"mężczyźni";"2020";329289;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"mężczyźni";"2021";326515;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"mężczyźni";"2022";324297;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"mężczyźni";"2023";320294;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"kobiety";"2019";337683;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"kobiety";"2020";330371;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"kobiety";"2021";327729;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"kobiety";"2022";325668;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"rok";"na wsi";"kobiety";"2023";321693;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"mężczyźni";"2019";401249;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"mężczyźni";"2020";390828;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"mężczyźni";"2021";386633;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"mężczyźni";"2022";382977;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"mężczyźni";"2023";379650;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"kobiety";"2019";440847;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"kobiety";"2020";430702;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"kobiety";"2021";426857;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"kobiety";"2022";423344;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"w miastach";"kobiety";"2023";420138;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"mężczyźni";"2019";294660;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"mężczyźni";"2020";286372;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"mężczyźni";"2021";284853;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"mężczyźni";"2022";284066;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"mężczyźni";"2023";282975;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"kobiety";"2019";285981;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"kobiety";"2020";277720;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"kobiety";"2021";276356;"osoba";"";
